מושגים,,,נושא
אבולוציה ביולוגיה,Bilogical evolution,"שינוים העוברים בתורשה, תאוריה שיכולה להסביר גם שינוי קצרי טווח וגם ארוכי טווח",אבולוציה - עדי שטרן
התאוריה של למארק,Lamark's hypothesis of evolution,"הורשה של תוכנות שימושיות,
הסיבה שיש שינוי עם הדורות, היא כי יש לאורגניזם נטייה לרצות לשאוף לשינוי, ועל ידי שינוי עצמי יש לו יכולת להשפיע על ההורשה של הדורות
(דוגמת הגירפה שמתחה את הצוואר)",אבולוציה - עדי שטרן
פלאונתולוגיה,,חקר המאובנים,אבולוציה - עדי שטרן
גיאולוגיה ,,"חקר מדעי כדור הארץ המוצק, חוקר את תהליכיו ותכונותיו, זמן היווצרותו, את מרכיביו השונים, את התהליכים הדינמיים המתרחשים בו ואת אוצרות הטבע הטמונים בו",
הברירה הטבעית,Natural Selection,התהליך שבו פרטים עם תכונות מועדפות מורשות הינם בעלי סיכוי גבוה יותר לשרוד ולהתרבות.,
תאוריה מדעית,,תאוריה שניתן להפריך,
מיקרו-אבולוציה ,,": שינויים קצרי טווח באבולוציה, למשל שינויים מדור לדור",
מקרו אבולוציה,,"שינויים ארוכי טווח באבולוציה, למשל שינויים לאורך מיליוני שנים ",
,genetics Population ,ענף מדעי העושה שימוש במתמטיקה כדי לתאר שינויים קצרי טווח באבולוציה,
גנוטיפ,,הרמה המולקולרית של הגנים שלנו,
פנוטיפ,,משהו שאנחנו יכולים להגדיר ולבצע עליו סלקציה,
אוכלוסיה,,כקבוצת פרטים מקומית שיכולה להתרבות ולהוליד צאצאים פוריים,
מוטציות,,נוצרות כאשר הפולימראז רץ על פני הגנום ומכניס שגיאה בחומר הגנטי,
רקומבינציה,,"שחלוף, מתרחש במינים שמתרבים מינית. רקומבינציה מתרחשת בחלוקה התאית ויוצרת שילובים חדשים של תכונות",
דופליקציה,,"תהליך שבו כרומוזום שלם יכול לעבור העתקה. יכול להתרחש גם בחלקים של הכרומוזום. דופליקציה מייצרת effect complex ,כלומר שינוי מאוד דרמטי",
לוקוס,,"מקום מסוים בגנום, יכול להיות אזור בגנום או נוקליאוטיד יחיד.",
מוטציות סינונימיות ,synonymous,"מוטציות המתבטאות בשינוי בקודון אך לא בחומצות האמיניות אליו מקודד, לרוב מוטציות ניטראליות",
מוטציה אדפטיבית ,,מוטציה שמקנה יתרון לאורגניזם היא מוטציה מאוד מאוד נדירה! כמובן שגם מדובר במוטציות המעניינות ביותר שמובילות לאבולוציה.,
קצב המוטציה  ,,קצב המוטציה  היא ההסתברות שהפולימראז יכניס שגיאה בנוקליאוטיד מסוים בכל מחזור רפליקציה. ,
משוואת Hardy-Weinberg,,משוואה הנותנת את ההבנה למה לצפות מבחינת שכיחויות אללים ופנוטיפים כאשר אין אבולוציה (שינוי באללים),
סחף גנטי,Genetic Drift ,"מתאר שינויים בשכיחות האללים שמתרחשים באופן אקראי ולא צפויי מדור לדור כתוצאה מגודל
מדגם (=גודל האוכלוסיה) קטן.",
תנועה של גנים/ הגירה,Gene Flow,זרימה של אללים בין אוכלוסיות,
אללים אדפטיביים ,, מקנים לאורגניזמים שנושא אותם יכולת שרידות והתרבות יותר טובים.,
סלקציה מטהרת,Directional selection,סלקציה שמתעדפת זנים שנמצאים בקצה של הספקטרום הפנוטיפי (בעל כיוון מסויים).,
סלקציה המפרה את האיזון ,Disruptive selection,סלקציה המתעדפת את שתי הקצוות,
סלקציה מייצבת,Stabilizing selection,"סלקציה המתעדפת את מה שבאמצע ולא את הקצוות, כלומר ערבוב גנים",
אפקט המייסדים,Effect Founder,"אפקט המייסדים מתייחס למצב בו פרטים בודדים מהאוכלוסייה עוברים למקום אחר ומייסדים שם אוכלוסייה חדשה שמורכבת תחילה רק מהם. השונות הגנטית יהיה תלוי במייסדים, ולאו דווקא הפרטים בעלי המטען הגנטי המשובח ביותר הם אלו שעברו.",
אפקט צוואר הבקבוק,Effect Bottleneck,"מצב בו חלה ירידה בגודל האוכלוסייה כתוצאה משינוי סביבתי כלשהו. דבר הגורם לשינוי גנטי, שלא בהכרח בשל יתרון הישרדותי כלשהו",
ניסוי Urey-Miller,,"ניסוי (1953) המדמה את תנאי כדור הארץ הקודם, בניסוי זה הצליחו לאשש את התאוריה כי ניתן לייצר חומצות אמינו באופן ספונטני, בתנאים של כדור הארץ הקדום ",
